mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,participant,date,expName,psychopyVersion,OS,frameRate,condition,stage,scene,correct object,left option,middle option,right option,memory resp,memory rt,accuracy,score,x mouse,y mouse,internal lure,external lure,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trials,Picture_Recognition,Picture_Recognition_2,Q1_l,Q1_m,Q1_r,Feedback_l,Feedback_m,Feedback_r,internal_lure,external_lure,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/kirche.png,images/objects/geige.png,images/objects/geige.png,images/objects/kreuz.png,images/objects/wasserspeier.png,images/objects/kreuz.png,1.6277,0,13,[-0.06759255020706742],[-0.1212962821677879],images/objects/wasserspeier.png,images/objects/kreuz.png,-0.06759255,-0.121296282,1,0,0,1.6277,image_middle,0,41,41,11,1,11,images/scenes/kirche.png,images/objects/geige.png,images/objects/geige.png,images/objects/kreuz.png,images/objects/wasserspeier.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/wasserspeier.png,images/objects/kreuz.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/wald.png,images/objects/wanderschuhe.png,images/objects/auto.png,images/objects/kastanien.png,images/objects/wanderschuhe.png,images/objects/wanderschuhe.png,1.199,1,14,[0.5555555555555556],[-0.17962964375813803],images/objects/auto.png,images/objects/kastanien.png,0.555555556,-0.179629644,1,0,0,1.199,image_right,0,42,42,14,1,14,images/scenes/wald.png,images/objects/wanderschuhe.png,images/objects/auto.png,images/objects/kastanien.png,images/objects/wanderschuhe.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/auto.png,images/objects/kastanien.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/lagerhalle.png,images/objects/bauhelm.png,images/objects/hebebuhne.png,images/objects/ziegelsteine.png,images/objects/bauhelm.png,images/objects/hebebuhne.png,2.3823,0,14,[-0.4675925925925926],[-0.16851856090404368],images/objects/ziegelsteine.png,images/objects/hebebuhne.png,-0.467592593,-0.168518561,1,0,0,2.3823,image_left,0,43,43,57,1,57,images/scenes/lagerhalle.png,images/objects/bauhelm.png,images/objects/hebebuhne.png,images/objects/ziegelsteine.png,images/objects/bauhelm.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/ziegelsteine.png,images/objects/hebebuhne.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/italienische_stadt.png,images/objects/surfbretter.png,images/objects/crossaint.png,images/objects/surfbretter.png,images/objects/kajak.png,images/objects/crossaint.png,8.3282,0,14,[-0.4675925925925926],[-0.16851856090404368],images/objects/kajak.png,images/objects/crossaint.png,-0.467592593,-0.168518561,1,0,0,8.3282,image_left,0,44,44,33,1,33,images/scenes/italienische_stadt.png,images/objects/surfbretter.png,images/objects/crossaint.png,images/objects/surfbretter.png,images/objects/kajak.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/kajak.png,images/objects/crossaint.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/spuren_im_schnee.png,images/objects/schneemann.png,images/objects/schneemann.png,images/objects/rodel.png,images/objects/winterschuh.png,images/objects/winterschuh.png,4.0322,0,14,[0.623148176405165],[-0.21944448682996961],images/objects/rodel.png,images/objects/winterschuh.png,0.623148176,-0.219444487,1,0,0,4.0322,image_right,0,45,45,36,1,36,images/scenes/spuren_im_schnee.png,images/objects/schneemann.png,images/objects/schneemann.png,images/objects/rodel.png,images/objects/winterschuh.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/rodel.png,images/objects/winterschuh.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/fluss_mit_schnee.png,images/objects/schneeschuhe.png,images/objects/schneeschuhe.png,images/objects/eisscholle.png,images/objects/schneemobil.png,images/objects/eisscholle.png,3.6832,0,14,[0.1212962821677879],[-0.22037039862738717],images/objects/schneemobil.png,images/objects/eisscholle.png,0.121296282,-0.220370399,1,0,0,3.6832,image_middle,0,46,46,22,1,22,images/scenes/fluss_mit_schnee.png,images/objects/schneeschuhe.png,images/objects/schneeschuhe.png,images/objects/eisscholle.png,images/objects/schneemobil.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/schneemobil.png,images/objects/eisscholle.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/brucke.png,images/objects/auto.png,images/objects/strassenbahn.png,images/objects/auto.png,images/objects/roller.png,images/objects/strassenbahn.png,2.4584,0,14,[-0.4249999788072374],[-0.19814816227665655],images/objects/roller.png,images/objects/strassenbahn.png,-0.424999979,-0.198148162,1,0,0,2.4584,image_left,0,47,47,7,1,7,images/scenes/brucke.png,images/objects/auto.png,images/objects/strassenbahn.png,images/objects/auto.png,images/objects/roller.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/roller.png,images/objects/strassenbahn.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/rolltreppen.png,images/objects/fahrkarten.png,images/objects/flugzeug.png,images/objects/fahrkarten.png,images/objects/plakatsaule.png,images/objects/plakatsaule.png,3.6646,0,14,[0.6296296296296297],[-0.26666669492368344],images/objects/flugzeug.png,images/objects/plakatsaule.png,0.62962963,-0.266666695,1,0,0,3.6646,image_right,0,48,48,21,1,21,images/scenes/rolltreppen.png,images/objects/fahrkarten.png,images/objects/flugzeug.png,images/objects/fahrkarten.png,images/objects/plakatsaule.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/flugzeug.png,images/objects/plakatsaule.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/bushaltestelle.png,images/objects/reisetasche.png,images/objects/kutsche.png,images/objects/schulbus.png,images/objects/reisetasche.png,images/objects/schulbus.png,1.7757,0,14,[0.0398148430718316],[-0.2037037037037037],images/objects/kutsche.png,images/objects/schulbus.png,0.039814843,-0.203703704,1,0,0,1.7757,image_middle,0,49,49,1,1,1,images/scenes/bushaltestelle.png,images/objects/reisetasche.png,images/objects/kutsche.png,images/objects/schulbus.png,images/objects/reisetasche.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/kutsche.png,images/objects/schulbus.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/haus.png,images/objects/wasche.png,images/objects/gabel.png,images/objects/turmatte.png,images/objects/wasche.png,images/objects/turmatte.png,5.6228,0,14,[0.0398148430718316],[-0.2037037037037037],images/objects/gabel.png,images/objects/turmatte.png,0.039814843,-0.203703704,1,0,0,5.6228,image_middle,0,50,50,17,1,17,images/scenes/haus.png,images/objects/wasche.png,images/objects/gabel.png,images/objects/turmatte.png,images/objects/wasche.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/gabel.png,images/objects/turmatte.png,,,,,,,
